word	word_count	mean_sent_length	final_count	solo_count
陡峭	1.0	3.0	0.0	0.0
朋友	730.0	9.568493150684931	115.0	1.0
胶布	16.0	6.6875	5.0	0.0
香水	3.0	2.3333333333333335	2.0	2.0
堂	7.0	8.857142857142858	2.0	0.0
温	10.0	7.9	1.0	0.0
强	57.0	8.105263157894736	11.0	0.0
蒜蒜	2.0	2.0	1.0	0.0
直角	1.0	11.0	0.0	0.0
个	36625.0	7.209146757679181	4051.0	0.0
橘红色	13.0	2.923076923076923	10.0	4.0
射箭	1.0	3.0	0.0	0.0
吸吸看	3.0	2.6666666666666665	2.0	0.0
凶狠	1.0	8.0	0.0	0.0
屋檐	2.0	4.0	1.0	0.0
王冠	2.0	3.5	2.0	0.0
其	4.0	7.25	0.0	0.0
位置	85.0	7.847058823529411	32.0	0.0
kia	1.0	5.0	0.0	0.0
天篮色	1.0	1.0	1.0	1.0
宠爱	1.0	6.0	1.0	0.0
婴孩	1.0	2.0	1.0	0.0
耍赖	2.0	1.5	2.0	1.0
额哦	1.0	1.0	1.0	1.0
后悔	17.0	5.411764705882353	6.0	0.0
and	20.0	6.35	0.0	0.0
机顶盒	1.0	7.0	0.0	0.0
偷偷	134.0	10.126865671641792	0.0	0.0
筐子	5.0	7.6	1.0	0.0
肇庆	1.0	11.0	0.0	0.0
麻子	1.0	8.0	1.0	0.0
降落	12.0	5.25	1.0	0.0
而	48.0	9.916666666666666	0.0	0.0
为主	1.0	5.0	1.0	0.0
型号	1.0	6.0	0.0	0.0
抽象	1.0	3.0	0.0	0.0
揉揉	1.0	7.0	0.0	0.0
店铺	2.0	1.0	2.0	2.0
毛钱	1.0	2.0	1.0	0.0
落后	1.0	4.0	0.0	0.0
占	2.0	15.0	0.0	0.0
语辰	1.0	11.0	0.0	0.0
抱抱看	1.0	1.0	1.0	1.0
问好	7.0	6.142857142857143	3.0	0.0
鸭肉	2.0	3.0	0.0	0.0
书架	8.0	10.0	2.0	1.0
点菜	1.0	2.0	1.0	0.0
粒粒	6.0	6.166666666666667	0.0	0.0
景色	1.0	7.0	0.0	0.0
要	20261.0	6.687280983169636	619.0	54.0
坨坨	1.0	7.0	0.0	0.0
嘘	28.0	2.892857142857143	16.0	11.0
老百姓	1.0	4.0	1.0	0.0
顶嘴	1.0	6.0	0.0	0.0
nene	6.0	6.0	0.0	0.0
保证	1.0	5.0	0.0	0.0
连连	2.0	9.0	0.0	0.0
花	1378.0	6.8599419448476056	433.0	22.0
丝儿	1.0	8.0	0.0	0.0
至于	1.0	4.0	0.0	0.0
各式各样	15.0	5.8	0.0	0.0
个个	7.0	7.857142857142857	1.0	0.0
够	492.0	7.166666666666667	43.0	1.0
永光	3.0	3.6666666666666665	0.0	0.0
虎斑	5.0	8.6	0.0	0.0
演戏	1.0	3.0	0.0	0.0
碰碰碰	1.0	5.0	0.0	0.0
纸尿裤	2.0	5.0	1.0	0.0
直升机	17.0	5.705882352941177	1.0	0.0
出租	1.0	8.0	0.0	0.0
哈气	2.0	10.0	0.0	0.0
幸福	20.0	6.8	5.0	0.0
哼唧哼唧	3.0	10.333333333333334	0.0	0.0
奥妙	1.0	11.0	1.0	0.0
江苏	1.0	4.0	0.0	0.0
孵蛋	4.0	4.5	1.0	0.0
啊哦	4.0	2.5	3.0	3.0
喷器	1.0	1.0	1.0	1.0
炭	2.0	3.0	0.0	0.0
相信	40.0	6.125	16.0	0.0
小康	3.0	4.333333333333333	0.0	0.0
农场	20.0	8.35	3.0	1.0
西尔维娅布拉尼	1.0	5.0	1.0	0.0
成都	3.0	3.6666666666666665	0.0	0.0
躺	182.0	7.4010989010989015	2.0	0.0
家园	1.0	6.0	1.0	0.0
红烧	24.0	6.291666666666667	0.0	0.0
知不知道	197.0	8.060913705583756	38.0	12.0
星期	18.0	9.555555555555555	2.0	0.0
悬念	1.0	14.0	0.0	0.0
latjik	1.0	2.0	0.0	0.0
信息	2.0	8.0	0.0	0.0
放射	1.0	10.0	0.0	0.0
粮食	24.0	6.791666666666667	12.0	0.0
关注	2.0	6.5	0.0	0.0
居然	21.0	11.19047619047619	0.0	0.0
宸宸	1.0	6.0	0.0	0.0
交流	3.0	9.333333333333334	0.0	0.0
贝比	7.0	3.5714285714285716	0.0	0.0
好比	1.0	4.0	0.0	0.0
泪	1.0	13.0	1.0	0.0
叭儿	1.0	3.0	1.0	0.0
tintintang	2.0	3.0	0.0	0.0
惊奇地	3.0	18.333333333333332	0.0	0.0
弧线	2.0	4.5	0.0	0.0
沃尔沃	7.0	4.571428571428571	2.0	1.0
押韵	1.0	3.0	0.0	0.0
茂密	3.0	10.0	0.0	0.0
车头	4.0	4.0	3.0	1.0
调试	1.0	5.0	0.0	0.0
画一画	2.0	3.5	2.0	1.0
兴趣	22.0	5.090909090909091	6.0	0.0
到	11110.0	8.386948694869487	583.0	6.0
茶叶蛋	2.0	8.0	0.0	0.0
挥挥	1.0	3.0	0.0	0.0
觉着	1.0	13.0	0.0	0.0
前进	3.0	4.666666666666667	2.0	0.0
发火	5.0	7.8	1.0	0.0
中中	6.0	7.5	1.0	1.0
缝隙	1.0	12.0	0.0	0.0
毛病	16.0	6.625	7.0	0.0
猴子	206.0	5.616504854368932	59.0	9.0
pin	1.0	9.0	0.0	0.0
装饰物	1.0	7.0	0.0	0.0
逊	1.0	4.0	0.0	0.0
飞越	7.0	12.142857142857142	0.0	0.0
完	2624.0	7.289253048780488	193.0	0.0
粉色	19.0	6.842105263157895	1.0	1.0
车头儿	1.0	2.0	0.0	0.0
光亮	1.0	13.0	0.0	0.0
小若	4.0	3.5	1.0	0.0
挥霍	1.0	6.0	0.0	0.0
bang1	1.0	6.0	0.0	0.0
戳戳	5.0	5.4	2.0	1.0
巴度	2.0	5.5	0.0	0.0
捶背	2.0	7.5	0.0	0.0
虾	49.0	5.1020408163265305	16.0	4.0
玩	5196.0	6.5182832948421865	1235.0	5.0
大溪	1.0	4.0	0.0	0.0
憋	2.0	9.0	0.0	0.0
怎么	7911.0	5.681961825306535	63.0	10.0
擦擦	135.0	4.881481481481481	37.0	6.0
铁丝钳	1.0	7.0	0.0	0.0
禾苗	11.0	11.090909090909092	1.0	0.0
诺诺诺	2.0	5.0	0.0	0.0
金星	1.0	1.0	1.0	1.0
轿子	5.0	6.2	3.0	0.0
糕点	1.0	2.0	0.0	0.0
五彩缤纷	2.0	7.0	1.0	0.0
adv	1.0	3.0	0.0	0.0
伞	37.0	8.027027027027026	12.0	0.0
wei	1.0	9.0	0.0	0.0
根基	2.0	10.0	0.0	0.0
天真的	1.0	11.0	0.0	0.0
reading	1.0	4.0	1.0	0.0
薯条	13.0	6.076923076923077	5.0	2.0
转移	1.0	8.0	0.0	0.0
吉祥	6.0	3.8333333333333335	4.0	0.0
黄牛	1.0	4.0	1.0	0.0
隔壁	13.0	6.384615384615385	1.0	0.0
陈	21.0	4.761904761904762	4.0	1.0
好奇	26.0	9.5	14.0	0.0
旅游	14.0	5.857142857142857	2.0	0.0
