word	word_count	mean_sent_length	final_count	solo_count
guardián	3.0	4.333333333333333	3.0	0.0
vídeo	148.0	9.871621621621621	38.0	0.0
gochos	2.0	8.0	1.0	0.0
berrugas	1.0	10.0	0.0	0.0
bañas	38.0	8.447368421052632	6.0	0.0
ahogas	8.0	4.875	7.0	0.0
roll	2.0	16.5	1.0	0.0
ritmica	1.0	4.0	1.0	0.0
parlo	2.0	8.5	1.0	0.0
chula	36.0	7.388888888888889	14.0	0.0
cabresa	5.0	11.4	3.0	0.0
aterrado	1.0	2.0	0.0	0.0
búscale	12.0	5.333333333333333	4.0	1.0
acabamos	30.0	5.433333333333334	9.0	0.0
buenisimo	3.0	19.333333333333332	2.0	0.0
acuerdo	192.0	8.557291666666666	93.0	0.0
especifique	1.0	1.0	1.0	1.0
asústalo	1.0	2.0	0.0	0.0
décimo	2.0	7.0	0.0	0.0
guindas	3.0	7.666666666666667	2.0	0.0
eusquera	7.0	10.428571428571429	3.0	0.0
cul	3.0	6.0	3.0	0.0
tic	4.0	5.75	1.0	0.0
adornasteis	1.0	5.0	1.0	0.0
costipas	2.0	2.5	2.0	0.0
vernos	2.0	5.5	0.0	0.0
sentadito	21.0	4.714285714285714	10.0	2.0
ira	169.0	4.93491124260355	70.0	24.0
sempre	4.0	10.75	2.0	0.0
puntiaguda	1.0	10.0	0.0	0.0
conté	3.0	6.333333333333333	1.0	0.0
dásele	1.0	3.0	0.0	0.0
fracturado	1.0	5.0	0.0	0.0
bollete	2.0	7.0	1.0	0.0
trompa	22.0	8.181818181818182	11.0	0.0
sentada	47.0	6.170212765957447	16.0	2.0
dèjalo	2.0	6.0	0.0	0.0
fany	2.0	2.0	1.0	0.0
pintamelo	1.0	2.0	0.0	0.0
llorarás	1.0	3.0	1.0	0.0
carúpano	2.0	8.0	1.0	0.0
tiraste	21.0	5.619047619047619	7.0	0.0
landrover	1.0	15.0	0.0	0.0
tinen	1.0	10.0	0.0	0.0
pis	177.0	5.977401129943503	97.0	3.0
vivis	2.0	16.5	0.0	0.0
princesita	3.0	9.333333333333334	2.0	0.0
sombreros	3.0	13.333333333333334	1.0	0.0
salvan	8.0	12.25	2.0	0.0
mancharte	1.0	3.0	1.0	0.0
encalado	1.0	5.0	0.0	0.0
pato	204.0	5.0588235294117645	110.0	14.0
