Token	Diversity	DiversityEntropy	CountPerThousand	MLU
随	20	3.5383005142211914	0.009633035532053625	4.0625
现实	26	4.507894992828369	0.005418582486780164	7.222222222222222
互相	25	4.513947010040283	0.0048165177660268125	6.25
当当	9	2.722080945968628	0.005418582486780164	3.3333333333333335
能不能	347	6.708375930786133	0.23901969413908056	8.125944584382871
化妆	159	6.538912773132324	0.06381886039985527	6.59433962264151
滴	89	5.721767902374268	0.03793007740746115	5.777777777777778
只是	169	5.08865213394165	0.1402810799355309	10.643776824034335
活	65	5.583983421325684	0.016857812181093845	7.464285714285714
牢	39	4.874494552612305	0.009030970811300273	7.733333333333333
药	284	6.7099761962890625	0.2594898946446945	5.788863109048724
剩	103	5.816884994506836	0.03672594796595444	7.147540983606557
把子	31	4.691873073577881	0.008428906090546922	4.357142857142857
另外	255	6.393514156341553	0.11318816750163009	8.962765957446809
看病	50	5.281349182128906	0.010837164973560328	8.11111111111111
橘黄色的	28	4.507521629333496	0.009030970811300273	4.466666666666667
这边	440	7.0514702796936035	0.5045302359913086	4.912887828162291
放心	12	3.4567172527313232	0.004214453045273461	3.5714285714285716
喵	37	4.525093078613281	0.02408258883013406	4.825
上课	108	6.098630428314209	0.04515485405650137	5.346666666666667
凤梨	29	4.626772403717041	0.008428906090546922	4.0
原来的	28	4.382026672363281	0.007224776649040219	7.583333333333333
废话	7	2.524550437927246	0.0036123883245201094	4.166666666666667
神	86	6.008185386657715	0.02709291243390082	6.2444444444444445
剃	23	4.337587356567383	0.004214453045273461	6.571428571428571
求	23	4.175581932067871	0.0048165177660268125	8.5
或是	55	5.493364334106445	0.01204129441506703	8.45
毕业	21	4.038714408874512	0.006020647207533515	6.7
安排	62	5.588275909423828	0.010837164973560328	9.0
道	89	5.636500358581543	0.025888782992394117	7.976744186046512
垫子	34	4.787175178527832	0.00782684136979357	6.230769230769231
上楼	24	4.487274646759033	0.0048165177660268125	5.25
肚皮	42	5.028173446655273	0.009030970811300273	8.8
象	91	5.7795562744140625	0.028297041875407523	6.382978723404255
咻	36	3.6982662677764893	0.04515485405650137	4.426666666666667
婷婷	19	4.1758880615234375	0.010235100252806975	2.4705882352941178
bwai	10	3.1464390754699707	0.0048165177660268125	3.375
